identifier,channelType,name,address,serviceURL,phone,email,hoursAvailable,processingTime
Ch0018,Γραφείο εξυπηρέτησης,"Πρεσβεία Ινδονησίας","Μαραθονοδρόμων 99, Ψυχικό ",,"21 0677 4692",kbri@kemlu.go.id ,,
Ch0019,Γραφείο εξυπηρέτησης,"Πρεσβεία Ιορδανίας","Παπαδιαμάντη 21, Ψυχικό ",,"21 0674 4161",jor_emb1@otenet.gr ,"Δευτέρα εώς Παρασκευή 09:00 π.μ - 16:00 μ.μ",
Ch0020,Γραφείο εξυπηρέτησης,"Κατά την άφιξη στην Ιορδανία","Σημεία ελέγχου μετανάστευση στο αεροδρόμιο καθώς και στα χερσαία σύνορα εκτός της γέφυρας King Hussein.",,,,,
Ch0021,Γραφείο εξυπηρέτησης,"Πρεσβεία Ιράκ","Μαζαράκη 4, Ψυχικό ",,"21 0672 2330",iraqath@otenet.gr ,,
Ch0022,Γραφείο εξυπηρέτησης,"Πρεσβεία Ιράν","Στρατ. Καλλάρη 16, Ψυχικό ",,"21 0674 1436",iranemb.ath@mfa.gov.ir ,,
Ch0023,Γραφείο εξυπηρέτησης,"Πρεσβεία Καμερούν"," Λεωφ. Κηφισίας  180-182,  Νέο Ψυχικό",,"210 6724415",,,
Ch0024,Γραφείο εξυπηρέτησης,"Πρεσβεία Κατάρ","Κηφισίας  212 και Περικλέους 2, 154 51, Νέο Ψυχικό",,"21 0725 5031",,,
Ch0025,Αρχική σελίδα,"Ηλεκτρονική Visa Κένυας",,https://www.ecitizen.go.ke,,,,PD2 
Ch0026,Γραφείο εξυπηρέτησης,"Κέντρο Visa Κίνας","Βρανά 25, Ελληνορώσων , 11525, Αθήνα ",,"21 0671 1311",consulate_grc@mfa.gov.cn,"Τρίτη και Πέμπτη 09:00 π.μ -16:00 μ.μ",
Ch0027,Γραφείο εξυπηρέτησης,"Προξενείο Λαϊκής Δημοκρατία του Κονγκό","Μαραθονοδρόμων 17, 154 52, Ψυχικό",,"21 0324 1361",missionrdcathenes@gmail.com ,,
Ch0028,Γραφείο εξυπηρέτησης,"Πρεσβεία Κούβας","Σοφοκλέους 5, Φιλοθέη",,"21 0685 5550",secretaria@embacuba.gr ,"Δευτέρα εώς Παρασκευή  10:30π.μ.–3:30μ.μ.",PD1-PD10
Ch0029,Γραφείο εξυπηρέτησης,"Πρεσβεία Κουβέιτ","Μαραθονοδρόμων 27, Ψυχικό",,"21 0674 3593",,,
Ch0030,Γραφείο εξυπηρέτησης,"Προξενείο  Λιβύης","Βύρωνος 13, Ψυχικό",,,,,
Ch0031,Αρχική σελίδα,"Ηλεκτρονικη Visa Μαδαγασκάρης",,https://evisamada.gov.mg,,,,PD3
Ch0032,Γραφείο εξυπηρέτησης,"Κατά την άφιξη στην Μαδαγασκάρη",,,,,,
Ch0033,Γραφείο εξυπηρέτησης,"Κατά την άφιξη στις Μαλδίβες",,,,,,
Ch0034,Γραφείο εξυπηρέτησης,"Προξενειο Μαλί"," Ευφωρίονος  17, Παγκράτι",,"21 0756 7195",,,
Ch0035,Γραφείο εξυπηρέτησης,"Πρεσβεία Μπανγκλαντές","Μαραθονοδρόμων 119, Ψυχικό",,"21 6000 2700",mission.athens@mofa.gov.bd ,,
Ch0036,Γραφείο εξυπηρέτησης,"Προξενείο Νεπάλ"," Χεϋδεν  2,  Αθήνα Κέντρο",,"21 0363 1696",,"Δευτέρα εώς Παρασκευή κατόπιν ραντεβού.",PD1
Ch0037,Γραφείο εξυπηρέτησης,"Κατά την άφιξη στο Νεπαλ","Σημεία ελέγχου μετανάστεύσης στο διεθνές αεροδρόμιο του Κατμαντού ή στα σύνορα με την Ινδία",,,,,
Ch0038,Γραφείο εξυπηρέτησης,"Γενικό Προξενείο Δημοκρατίας Ουζμπεκιστάν ","Λεωφ. Δημοκρατίας 64,  Ψυχικό",,"21 0685 7077",,,
Ch0039,Γραφείο εξυπηρέτησης,"Πρεσβεία Πακιστάν","Βεκιαρέλη 15, Φιλοθέη",,"21 0729 0214",,,
Ch0040,Γραφείο εξυπηρέτησης,"Κέντρο Visa για τη Ρωσία","2ος Όροφος , Εθνικής Αντιστάσεως 42, Χαλάνδρι, 15232 , Ελλάδα",,"21 0685 6775",info.rusathens@russia-visacentre.com,"Δευτέρα εώς Παρασκευή για υποβολή αίτησης 9:00 π.μ - 12:00 μ.μ και για παραλαβή
11:30 π.μ - 12:30 μ.μ ",
Ch0041,Αρχική σελίδα,"Ηλεκτρονικη Visa Ρωσίας",,http://www.evisa-russie.com,,,,
Ch0042,Γραφείο εξυπηρέτησης,"Πρεσβεία Σαουδικής Αραβίας","Μαραθονοδρόμων 71, 153 52, Παλαιό Ψυχικό ",,"21 0671 6911",saembinathens@gmail.com ,,
Ch0043,Γραφείο εξυπηρέτησης,"Προξενείο Σενεγάλης"," Ακτή Μιαούλη 87, Πειραιάς ",,"21 0429 1000",,,
Ch0044,Γραφείο εξυπηρέτησης,"Πρεσβεία Σουδάν","Γεωργίου Μπάκου 17, 115 24, Αθήνα",,"21 0674 2521",vat88@hotmail.com ,,
Ch0045,Γραφείο εξυπηρέτησης,"Επίτιμο Προξενείο Λαϊκής Δημοκρατίας της Σρι Λάνκα ","Κανάρη 20,  Αθήνα Κέντρο ",,"21 3088 9955",,,
Ch0046,Γραφείο εξυπηρέτησης,"Πρεσβεία Συρίας","Διαμαντινού 61, Ψυχικό",,"21 0671 1604",syrembas@otenet.gr ,,
Ch0047,Γραφείο εξυπηρέτησης,"Επίτιμο Προξενείο Δημοκρατίας της Υεμένης","Πατησίων 9, Αθήνα Κέντρο",,"21 0671 7280",,,
Ch0048,Γραφείο εξυπηρέτησης,"Κατά την άφιξη στη Τανζανια","Σημεία ελέγχου μετανάστευσης στο αεροδρόμιο",,,,,
Ch0049,Αρχική σελίδα,"Ηλεκτρονική Visa Τανζανίας",,http://www.immigration.go.tz,,,,
Ch0050,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","Πανεπιστημιούπολη ΠΔΜ
Κοίλα Κοζάνης, Τ.Κ. 50150",,"24610 68271",merimna@uowm.gr,,
Ch0051,Γραφείο εξυπηρέτησης,"Διεύθυνση Φοιτητικής Μέριμνας, Ιατρικό Τμήμα, ΕΘΝΙΚΟ ΜΕΤΣΟΒΙΟ ΠΟΛΥΤΕΧΝΕΙΟ","Εθνικό Μετσόβιο Πολυτεχνείο",,,,"Καθημερινά από 11:00 π.μ. έως 13:00 μ.μ.",
Ch0052,Γραφείο εξυπηρέτησης,"Υγειονομική Υπηρεσία της Πανεπιστημιακής Φοιτητικης Λέσχης, ΑΡΙΣΤΟΤΕΛΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣ/ΝΙΚΗΣ","Πανεπιστημιακή Φοιτητική Λέσχη Α.Π.Θ.
Εγνατία & 3ης Σεπτεμβρίου
54636 Θεσσαλονίκη",,"2310 992642",pfl@auth.gr,,
Ch0053,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΜΑΚΕΔΟΝΙΑΣ","Πανεπιστήμιο Μακεδονίας",,"2310891319, 2310891215",merimna@uom.gr,"Δευτέρα - Παρασκεύη : 11.30 π.μ - 13.00 μ.μ",
Ch0054,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΔΗΜΟΚΡΙΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΡΑΚΗΣ","Δημοκρίτειο Πανεπιστήμιο Θράκης, Δημοκρίτου 17 69 100 Κομοτηνή",,"2531039212 / 2531039211",,,
Ch0055,Γραφείο εξυπηρέτησης,"Διεύθυνση Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΘΕΣΣΑΛΙΑΣ","Πανεπιστήμιο Θεσσαλίας,
Αργοναυτών και Φιλελλήνων, Τ.Κ. 38 221 Βόλος (κτίριο Παπαστράτου, 1ος όροφος), Βόλος",,"24210 74506 & 74621",merimna@uth.gr,,
Ch0056,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΚΡΗΤΗΣ","Πανεπιστήμιο Κρήτης",,,tzantarolaki@admin.uoc.gr,,
Ch0057,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΠΟΛΥΤΕΧΝΕΙΟ ΚΡΗΤΗΣ","Πολυτεχνείο Κρήτης",,"2821037287",,,
Ch0058,Γραφείο εξυπηρέτησης,"Διεύθυνση Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΑΤΡΑΣ","Πανεπιστήμιο Πάτρας,Πανεπιστήμιο Πατρών – Δ/νση Φοιτητικής Μέριμνας – Α΄ κτίριο, Ισόγειο ΤΚ 26504 – ΡΙΟΝ ΠΑΤΡΑ",,"2610 997970",,,
Ch0059,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας & Συμβουλευτικής
Κεντρική Διεύθυνση Σπουδών & Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ","Πανεπιστήμιο Αιγαίου,
Κτήριο Διοίκησης
Λόφος Πανεπιστημίου
81 132, Μυτιλήνη",,"22510 36503 & 22510 36162-3 ",tfms@aegean.gr,,
Ch0060,Γραφείο εξυπηρέτησης,"Γραφείο Φοιτητικής Μέριμνας  Χίου, ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ","Πανεπιστήμιο Αιγαίου,
Μιχάλων 8
82 132, Χίος",,"22710-35025,35500",merimna@chios.aegean.gr,,
Ch0061,Γραφείο εξυπηρέτησης,"Γραφείο Φοιτητικής Μέριμνας Σύρου, ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ
","Πανεπιστήμιο Αιγαίου, Κωνσταντινουπόλεως 1-2
84 100, Ερμούπολη - Σύρος",,"22810-97000",merimna@syros.aegean gr,,
Ch0062,Γραφείο εξυπηρέτησης,"Γραφείο Φοιτητικής Μέριμνας Σάμου, ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ
","Φοιτητικές Κατοικίες Σάμου,
Οδός Δημοτικού Σταδίου
83 200, Καρλόβασι Σάμου",,"22730-82028,82011,82016",merimna@samos.aegean.gr,,
Ch0063,Γραφείο εξυπηρέτησης,"
Γραφείο Φοιτητικής Μέριμνας Ρόδου, ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ","Πανεπιστήμιο Αιγαίου,
Λεωφόρος Δημοκρατίας 1
85 100, Ρόδος",,"22410-99012,99013",merimna@rhodes.aegean.gr,,
Ch0064,Γραφείο εξυπηρέτησης,"Γραφείο Φοιτητικής Μέριμνας Μυτιλήνης, ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ

","Κτήριο Διοίκησης,
Λόφος Πανεπιστημίου
81 132, Μυτιλήνη",,"22510-36932,36937",merimna@lesvos.aegean.gr,,
Ch0065,Γραφείο εξυπηρέτησης,"Γραφείο Φοιτητικής Μέριμνας  Λήμνου, ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΙΓΑΙΟΥ
","Πανεπιστήμιο Αιγαίου
Μητροπολίτη Ιωακείμ 2
81 400, Μύρινα Λήμνου",,"22540-83013",merimna@lemnos. Aegean.gr,,
Ch0066,Γραφείο εξυπηρέτησης,"Διεύθυνση Εκπαίδευσης, ΠΑΝΕΠΙΣΤΗΜΙΟ ΙΩΑΝΝΙΝΩΝ","Πανεπιστήμιο Ιωαννίνων",,,,,
Ch0067,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΙΡΑΙΑ","Πανεπιστημίου Πειραιώς, Καραολή & Δημητρίου 80, 1ος  όροφος, γραφείο 114 Α.",,"210 4142065, 210 4142089, 210 4142088 ",foitmer@unipi.gr,"Δευτέρα, Τετάρτη και Παρασκευή από 11:00 π.μ - 14:00 μ.μ",
Ch0068,Γραφείο εξυπηρέτησης," Τμήμα Φοιτητικής Μέριμνας,ΕΘΝΙΚΟ ΚΑΙ ΚΑΠΟΔΙΣΤΡΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ","Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών",,"210 3688208",,,
Ch0069,Γραφείο εξυπηρέτησης,"Τμήμα Σπουδών και Φοιτητικής Μέριμνας, ΑΝΩΤΑΤΗ ΣΧΟΛΗ ΚΑΛΩΝ ΤΕΧΝΩΝ","Ανωτάτη Σχολή Καλών Τεχνών",,"210 3897149",esotiri@asfa.gr,"Δευτέρα και Tετάρτη: 10:00 π.μ-14:00 μ.μ",
Ch0070,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΠΑΝΤΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ","Πάντειο Πανεπιστήμιο",,"210 9201141, 210 9201641, 210 9201642",,"Καθημερινά από 08:00 π.μ έως 14:30 μ.μ",
Ch0071,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΧΑΡΟΚΟΠΕΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ","Χαροκόπειο Πανεπιστήμιο Αθηνών",,"210 9549221", tacad.foitmer@hua.gr,"Ώρες υποδοχής: 10.00 -14.00 καθημερινά",
Ch0072,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΓΕΩΠΟΝΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ","Γεωπονικό Πανεπιστήμιο Αθηνών, Ιερά Οδός 75, ΤΚ 11855, Αθήνα",,"210 5294918",,,
Ch0073,Γραφείο εξυπηρέτησης,"Διεύθυνση Σπουδών και Φοιτητικής Μέριμνας, ΙΟΝΙΟ ΠΑΝΕΠΙΣΤΗΜΙΟ","
2η Πάροδος Ελ. Βενιζέλου, Νέο Λιμάνι, 49100 Κέρκυρα.",,"26610-22575",merimna@ionio.gr,,
Ch0074,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΟΙΚΟΝΟΜΙΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ ΑΘΗΝΩΝ","Οικονομικό Πανεπιστήμιο Αθηνών",,"210 8203349",kxv@aueb.gr,,
Ch0075,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικών Θεμάτων, ΠΑΝΕΠΙΣΤΗΜΙΟ ΠΕΛΛΟΠΟΝΗΣΟΥ","Τέρμα οδού Ρετάλη Άρια Ναυπλίου Τ.Κ. 21100",,"27520-70223",foitmer@uop.gr ,,
Ch0076,Γραφείο εξυπηρέτησης,"Τμήμα Περίθαλψης & Κοινωνικής Μέριμνας, ΕΛΛΗΝΙΚΟ ΜΕΣΟΓΕΙΑΚΟ ΠΑΝΕΠΙΣΤΗΜΙΟ","Ελληνικό Μεσογειακό Πανεπιστήμιο",,"2810-379166",,,
Ch0077,Γραφείο εξυπηρέτησης,"Τμήμα Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ","Πανεπιστημιούπολη Άλσους Αιγάλεω
Αγίου Σπυρίδωνος 28, 12243 Αιγάλεω",,"210 5385128",medie@uniwa.gr,,
Ch0078,Γραφείο εξυπηρέτησης," Τμήμα Φοιτητικής Μέριμνας, ΠΑΝΕΠΙΣΤΗΜΙΟ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ","Πανεπιστημιούπολη Αρχαίου Ελαιώνα
Πέτρου Ράλλη & Θηβών 250, 12241 Αιγάλεω
",,"210 5381254",edeme@uniwa.gr,,
Ch0079,Γραφείο εξυπηρέτησης,"Τμήμα Υγειονομικής Περίθαλψης, Συμβουλευτικής  και Ψυχολογικής Στήριξης Θεσσαλονίκης (κόμβος Θέρμης), ΔΙΕΘΝΕΣ ΠΑΝΕΠΙΣΤΗΜΙΟ ΕΛΛΑΔΑΣ","Διεθνές Πανεπιστήμιο της Ελλάδος,
Πανεπιστημιούπολη Καβάλας, Άγιος Λουκάς ΤΚ 65404 Καβάλα",,"2510 462371",filtop@emt.ihu.gr,,
Ch0080,Αρχική σελίδα,"Ηλεκτρονικός Εθνικός Φορέας Κοινωνικής Ασφάλιστη (e-ΕΦΚΑ)",,https://www.efka.gov.gr,,,,
Ch0081,Γραφείο εξυπηρέτησης,"Προξενείο Κένυας","Σόλωνος 126, 10681 Αθήνα",,"210 3810465",info@kenyagreece.com,,
