identifier,name,description
Ev0042,Πρωτότυπο έγγραφο ιατρικής ασφάλισης, που να ισχύει στο έδαφος της Ρωσικής Ομοσπονδίας και να καλύπτει όλη τη διάρκεια της θεώρησης.,Κατά την άφιξη απαιτείται πιστοποιητικό ταξιδιωτικής ασφάλισης, σε οποιαδήποτε γλώσσα, υπογεγραμμένο και σφραγισμένο για κάθε ταξιδιώτη. Πρέπει να καλύπτει τις ημερομηνίες διαμονής, να αναφέρει τα οφέλη (ελάχιστο: επαναπατρισμός και έξοδα έως 35.000 $/άτομο), τα στοιχεία επικοινωνίας του ασφαλιστή στη Ρωσία, τον αριθμό συμβολαίου και τα πλήρη ονόματα του ταξιδιώτη όπως φαίνονται στο διαβατήριο.
Ev0043,Διαβατήριο,Πρωτότυπο διαβατήριο, το οποίο πρέπει να περιέχει τουλάχιστον 2 κενές σελίδες θεωρήσεων, και το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης. Το διαβατήριο πρέπει να είναι υπογεγραμμένο απο τον κάτοχο του.
Ev0044,Διαδικτυακό έντυπο αίτησης που συμπληρώνεται στον ιστότοπο visa.kdmid.ru, εκτυπωμένο και υπογεγραμμένο αυτοπροσώπως από τον αιτούντα.,Κατά την επιλογή της τοποθεσίας όπου θα υποβάλετε τα έγγραφα σας, θα πρέπει να δηλώσετε το Κέντρο Θεωρήσεων όπου σκοπεύετε να υποβάλετε τα έγγραφά σα
Ev0045,Έγχρωμη φωτογραφία 3.5εκ. X 4.5 εκ.,Η φωτογραφία πρέπει να επικολλάται πάνω στην ηλεκτρονική αίτηση (κι οχι να τοποθετείται με συρραπτικό!).
Ev0046,Πρωτότυπο και αντίγραφο έγκυρης ελληνικής άδειας παραμονής.,Εάν δεν είστε Έλληνας υπήκοος, παρακαλούμε να επικοινωνήσετε με το Κέντρο Θεωρήσεων καθώς ενδέχεται να χρειαστεί να προσκομίσετε επιπλέον έγγραφα ή άδεια παραμονής (αποδεικτικό μόνιμης διαμονής στην Ελλάδα για περισσότερο από 90 ήμερες).
Ev0047,Πρωτότυπο έγγραφο ιατρικής ασφάλισης, που να ισχύει στο έδαφος της Ρωσικής Ομοσπονδίας και να καλύπτει όλη τη διάρκεια της θεώρησης.,"Παρακαλείστε να σημειώσετε ότι το ιατρικό ασφαλιστήριο συμβόλαιο πρέπει να περιέχει:
1. Την ημερομηνία υπογραφής της συμφωνίας.
2. Τον αριθμό ασφαλιστηρίου.
3. Το πλήρες όνομα του ασφαλισμένου.
4. Τα πλήρη στοιχεία του ασφαλιστή.
5. Μια λίστα των ιατρικών και ιατρικών υπηρεσιών μεταφοράς που προβλέπονται, συμπεριλαμβανομένου του επαναπατρισμού.
Το ασφαλιστήριο πρέπει να καλύπτει όλη την περίοδο της παραμονής στη Ρωσία για τις βίζες μονής και διπλής εισόδου.
Το ελάχιστο ποσό κάλυψης πρέπει να είναι 30.000 ευρώ. Η περιοχή κάλυψης πρέπει να είναι σε όλο τον κόσμο, τη Ρωσική Ομοσπονδία, ή την Ευρώπη συμπεριλαμβανομένης της Ρωσίας.
"
Ev0048,Εξουσιοδότηση,Σε περίπτωση που δεν θα καταθέσετε τα δικαιολογητικά σας αυτοπροσώπως, κι επιθυμείτε να τα καταθέσει κάποιος άλλος για εσάς, θα πρέπει να υπάρχει μια εξουσιοδότηση επικυρωμένη απο τις τοπικές αρχές
Ev0049,Συμπληρωμένη και υπογεγραμμένη Υπεύθυνη Δήλωση/Δήλωση Συγκατάθεσης.,Παρακαλείστε να σημειώσετε: Η Πρεσβεία ή το Γενικό Προξενείο της Ρωσικής Ομοσπονδίας στην Ελληνική Δημοκρατία μπορεί να απαιτήσει συμπληρωματικά έγγραφα πριν από την έκδοση βίζας, μπορεί να σας προσκαλέσει σε συνέντευξη ή να παρατείνει το χρόνο που απαιτείται για την εξέταση της αίτησης θεώρησης σας.
Ev0050,Επιβεβαίωση ότι θα φιλοξενηθείτε ως τουρίστας από έναν Ρώσο ταξιδιωτικό πράκτορα, ο οποίος είναι εγγεγραμμένος στο ενιαίο μητρώο τουριστικών πρακτόρων, γνωστό ως τουριστικό voucher ή visa support.,Το έγγραφο αυτό πρέπει να περιλαμβάνει στοιχεία διαβατηρίου , ημερομηνίες ταξιδιού, αριθμό εισόδων, προορισμό, αριθμό μητρώου της τουριστικής οργάνωσης και αριθμό επιβεβαίωσης
Ev0051,Έγκυρα ταξιδιωτικά εισιτήρια για την είσοδο και την έξοδο από τη Ρωσική Ομοσπονδία,
Ev0052,"Μια θεώρηση εισόδου για την επόμενη χώρα μετά από τη Ρωσική Ομοσπονδία στη διαδρομή, ή
μια θεώρηση για τον τελικό προορισμό, ή διαβατήριο από αυτό το κράτος, ή
ένα αίτημα, αναφέροντας τους λόγους, και τα έγγραφα που επιβεβαιώνουν την ανάγκη να κάνετε τη στάση, εκτός εάν επιτρέπεται να διασχίσετε διαφορετικά δυνάμει διεθνούς συμφωνίας.
",Δεν απαιτείται θεώρηση για τους πολίτες των χωρών που έχουν το δικαίωμα για είσοδο χωρίς θεώρηση σε ένα γειτονικό κράτος ή τελικό προορισμό στο πλαίσιο των συμφωνιών που έχουν τεθεί σε εφαρμογή μεταξύ τους.
Ev0053,Πρωτότυπο και αντίγραφο του Πιστοποιητικού Παράδοσης του Ινδικού Διαβατηρίου.,
Ev0054,Διαβατήριο,"Πρωτότυπο διαβατήριο με ελάχιστη ισχύ 6 μηνών από την ημερομηνία έκδοσης της Ινδικής Βίζας, με τουλάχιστον 2 συνεχόμενες κενές σελίδες, σε καλή κατάσταση.  Δύο φωτοαντίγραφα σελίδων Διαβατηρίου με στοιχεία.

"
Ev0055,Διαβατήριο 2ης Εθνικότητας,Σε περίπτωση που ο αιτών είναι κάτοχος Διαβατηρίου 2ης Εθνικότητας, φωτοτυπία σελίδας διαβατηρίου με στοιχεία.
Ev0056,Διαβατηρίο ή της Εθνική Ταυτότητα του γονέα,Οι ανήλικοι (κάτω των 12 ετών) θα πρέπει να συνοδεύονται από τον ένα γονέα μαζί με φωτοτυπία του Διαβατηρίου ή της Εθνικής Ταυτότητας του γονέα για επίσημη υποβολή.
Ev0057,Πρωτότυπο και αντίγραφο έγκυρης ελληνικής άδειας παραμονής.,"Φωτοαντίγραφο Ελληνικής Άδειας Διαμονής ή Ελληνικής Ταυτότητας, εφόσον υπάρχει με το Πρωτότυπο.NΣε περίπτωση που δεν υπάρχει Ελληνική Άδεια Διαμονής ή Ελληνική Ταυτότητα, Δήλωση Μη Κατοίκου, που απευθύνεται στην Ινδική Πρεσβεία στην Ελλάδα, στα Αγγλικά, αναφέροντας τον λόγο της αίτησης από την Ελλάδα και όχι από τη χώρα καταγωγής του αιτούντος.
"
Ev0058,Φωτοτυπία προηγούμενης ινδικής βίζας ,"Προηγούμενη βιζα εάν υπάρχει, με σφραγίδες εξόδου/εισόδου. Μία φωτοτυπία της σελίδας του προηγούμενου διαβατηρίου με στοιχεία, σε περίπτωση που η βίζα επικολλήθηκε εκεί."
Ev0059,Διαδικτυακό έντυπο αίτησης που συμπληρώνεται στον ιστότοπο https://indianvisaonline.gov.in,"Έντυπο αίτησης θεώρησης υπογεγραμμένο με μπλε χρώμα, σύμφωνα με την υπογραφή στο διαβατήριο με μεταφορτωμένη φωτογραφία."
Ev0060,"Έγχρωμη φωτογραφία 5cm X 5cm","Δύο πρόσφατες όμοιες έγχρωμες βιομετρικές φωτογραφίες, με διαστάσεις 5cm x 5cm, σε λευκό φόντο με 70% ζουμ προσώπου."
Ev0061,Απόδειξη διαθεσιμότητας επαρκών κεφαλαίων για τα έξοδα στην Ινδία,"Τραπεζικό αντίγραφο τραπεζικού βιβλιαρίου."
Ev0062,Αντίγραφο κράτησης αεροπορικού εισιτηρίου,
Ev0063,Αποδεικτικά ταξιδιού μέσω Ινδίας,Αντίγραφο κράτησης αεροπορικού εισιτηρίου κ.λ.π.
Ev0064,Διαβατήριο,"Διαβατήριο με ελάχιστη ισχύ 6 μηνών από την ημερομηνία έκδοσης της Βίζας, με τουλάχιστον 2 συνεχόμενες κενές σελίδες, σε καλή κατάσταση. Σκαναρισμένη σελίδα διαβατηρίου με φωτογραφία και προσωπικά στοιχεία."
Ev0065,Διαδικτυακό έντυπο αίτησης που συμπληρώνεται στον ιστότοπο https://indianvisaonline.gov.in/evisa,"Έντυπο αίτησης θεώρησης υπογεγραμμένο με μπλε χρώμα, σύμφωνα με την υπογραφή στο διαβατήριο με μεταφορτωμένη φωτογραφία."
Ev0066,Έγχρωμη φωτογραφία ,"Σε ηλεκτρονική μορφή από 1ΜΒ-10ΜΒ. Το ύψος και το πλάτος της Φωτογραφίας πρέπει να είναι ίσα. Η φωτογραφία πρέπει να παρουσιάζει ολόκληρο πρόσωπο, μπροστινή όψη, μάτια ανοιχτά και χωρίς γυαλιά. Κεντράρετε το κεφάλι μέσα στο πλαίσιο και παρουσιάζετε το πλήρες κεφάλι από την κορυφή των μαλλιών μέχρι το κάτω μέρος του πηγουνιού. Το φόντο πρέπει να είναι απλό ανοιχτόχρωμο ή λευκό φόντο. Χωρίς σκιές στο πρόσωπο ή στο φόντο."
Ev0067,Συμπληρωμένη αίτηση ,Σας δίνεται στο σημείο ελέγχου μετανάστευσης κατά την είσοδο σας στην Αίγυπτο.
Ev0068,Απόδειξη Ταξιδιωτικών Διακανονισμών,"Ταξιδιωτικό δρομολόγιο. Εισητήρια, κρατήσεις ξενοδοχείων/λεπτομέρειες σχετικά με μέρη που θα επισκεφτείτε."
Ev0069,Διαβατήριο,"Διαβατήριο με ελάχιστη ισχύ 6 μηνών από την ημερομηνία έκδοσης της Βίζας, σε καλή κατάσταση. Σκαναρισμένη πρώτη σελίδα διαβατηρίου με τα στοιχεία σας."
Ev0070,Απόδειξη Ταξιδιωτικών Διακανονισμών,Ταξιδιωτικό δρομολόγιο.Kρατήσεις ξενοδοχείων/λεπτομέρειες σχετικά με μέρη που θα επισκεφτείτε.
Ev0071,Διαβατήριο,"Διαβατήριο με ελάχιστη ισχύ 6 μηνών από την ημερομηνία έκδοσης της Βίζας, σε καλή κατάσταση. 2 φωτοαντίγραφά πρώτη σελίδα διαβατηρίου με τα στοιχεία σας."
Ev0072,Αίτηση για βίζα,Το έντυπο αίτησης για βίζα Αιγύπτου (δύο αντίγραφα).
Ev0073,"Δύο φωτογραφίες 5,1cm X 5,1cm","Σε μέγεθος διαβατηρίου (λευκό φόντο, τραβηγμένες πρόσφατα)."
Ev0074,Έγκυρη ελληνική άδειας παραμονής,Εάν δεν είστε πολίτης της χώρας από την οποία υποβάλλετε αίτηση: Η άδεια διαμονής σας ή άλλο αποδεικτικό της νόμιμης διαμονής.
Ev0075,Απόδειξη Ταξιδιωτικών Διακανονισμών,"Ταξιδιωτικό δρομολόγιο. Εισητήρια, κρατήσεις ξενοδοχείων/λεπτομέρειες σχετικά με μέρη που θα επισκεφτείτε."
Ev0076,Διαβατήριο,Διαβατήριο με Μηχανογνώσιμη Ζώνη (MRZ) με ισχύ τουλάχιστον 1 μήνα.
Ev0077,Δήλωση υγείας ταξιδιωτών ( THD),"Πρέπει να συμπληρωθεί και να υποβληθεί από όλους τους ταξιδιώτες που ταξιδεύουν από και προς τις Μαλδίβες, εντός 48 ωρών πριν από το ταξίδι τους. Το έντυπο πρέπει να υποβληθεί ηλεκτρονικά μέσω IMUGA."
Ev0078,Απόδειξη Ταξιδιωτικών Διακανονισμών,"Επιβεβαιωμένα εισιτήρια μετάβασης/επιστροφής στη χώρα καταγωγής ή στη χώρα διαμονής.  Προπληρωμένη κράτηση/διαμονή σε ξενοδοχείο."
Ev0079,Επιβεβαίωση επαρκούς χρηματοδότησης,Επαρκείς πόροι για την προβλεπόμενη περίοδο παραμονής στις Μαλδίβες.
Ev0080,Όλα τα έγγραφα που απαιτούνται για τον επόμενο προορισμό,
Ev0081,Διαβατήριο,Πρωτότυπο διαβατήριο το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης
Ev0082,Έντυπο για αίτηση,Έντυπο αίτησης για βίζα ορθά και πλήρως συμπληρωμένη.
Ev0083,Βεβαίωση ταξιδιωτικής ασφάλισης,Με ιατροφαρμακευτική και νοσηλευτική κάλυψη στο εξωτερικό.
Ev0084,Διαβατήριο,"Ευανάγνωστο φωτοαντίγραφο του διαβατηρίου, το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης."  
Ev0085,Απόδειξη Ταξιδιωτικών Διακανονισμών,Ευανάγνωστη φωτοτυπία του αεροπορικού εισιτηρίου με ημερομηνία εισόδου και επιστροφής.
Ev0086,Φάκελος με επαρκή σφραγίδα και διεύθυνση επιστροφής,
Ev0087,Διαβατήριο,Ευανάγνωστο φωτοαντίγραφο του διαβατηρίου με τουλάχιστον 1 άδεια σελίδα και το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης.  
Ev0088,Πρόσφατη φωτογραφία,Απαιτείται φωτογραφία σε μέγεθος διαβατηρίου.
Ev0089,Eπιστολή έγκρισης,"Πριν εισέλθουν στο Βιετνάμ, οι αιτούντες για βίζα κατά την άφιξη πρέπει να υποβάλουν αίτηση για επιστολή έγκρισης (μέσω ταξιδιωτικού πρακτορίου με κάποια μικρή χρέωση). Η βίζα παραλαμβάνεται στην πύλη του αεροδρομίου και εκδίδεται από το Τμήμα Μετανάστευσης (Υπουργείο Δημόσιας Ασφάλειας), το Προξενικό Τμήμα ή το Υπουργείο Εξωτερικών της πόλης Χο Τσι Μινχ (Υπουργείο Εξωτερικών)."
Ev0090,Έντυπο αίτησης θεώρησης,Παρέχεται στο γραφείο μετανάστευσης.
Ev0091,2 φωτογραφίες,"Δύο φωτογραφίες του εαυτού σας σε μέγεθος διαβατηρίου με τις ακόλουθες προδιαγραφές: Διαστάσεις: 4cm x 6cm σε λευκό φόντο. Πρέπει να είστε κεντραρισμένοι στην εικόνα κοιτάζοντας μπροστά με μια ουδέτερη έκφραση προσώπου. Εάν φοράτε καλύμματα κεφαλής για θρησκευτικούς σκοπούς ή έχετε περούκα, μπορείτε να το κρατήσετε στη φωτογραφία, αλλά πρέπει επίσης να το φοράτε όταν μπαίνετε στο Βιετνάμ. Δεν πρέπει να φοράτε γυαλιά."
Ev0092,Διαβατήριο,Διαβατηρίο με τουλάχιστον 2 άδειες σελίδες το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης. Σκαναρισμένη πρώτη σελίδα διαβατηρίου με τα στοιχεία σας.
Ev0093,Φωτογραφία,"Μια ψηφιακή φωτογραφία του εαυτού σας σε μέγεθος διαβατηρίου, με τις ακόλουθες προδιαγραφές: Διαστάσεις: 4 cm x 6 cm σε λευκό φόντο. Πρέπει να είστε κεντραρισμένοι στην εικόνα, κοιτάζοντας μπροστά με μια ουδέτερη έκφραση προσώπου. Εάν φοράτε καλύμματα κεφαλής για θρησκευτικούς σκοπούς ή έχετε περούκα μπορείτε να το κρατήσετε στη φωτογραφία αλλά πρέπει επίσης να το φοράτε όταν μπαίνετε στο Βιετνάμ. Δεν πρέπει να φοράτε γυαλιά. Μέγεθος αρχείου εώς 2 ΜΒ Είδος αρχείου JPG ή GIF."
Ev0094,Διαβατήριο,"Διαβατηρίο με τουλάχιστον 2 άδειες σελίδες το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης ή άλλα ταξιδιωτικά έγγραφα."
Ev0095,Έντυπο αίτησης με συννημένη φωτογραφία,"Ο αιτών πρέπει να υποβάλει φωτογραφία διαβατηρίου που τραβήχτηκε το τελευταίο 1 έτος, διαστάσεων 4x6 cm, ίσιο πρόσωπο, χωρίς καπέλο, χωρίς σκούρο ή φιμέ γυαλί. Πρέπει να φαίνονται και τα δύο αυτιά. Η φωτογραφία πρέπει να είναι καθαρή για αναγνώριση και δεν πρέπει να έχει υποστεί επεξεργασία. Μπορεί να είναι έγχρωμη/ασπρόμαυρη. Το φόντο πρέπει να είναι λευκό/φωτεινό. Φωτογραφίες σε σκούρο ή/και διακοσμημένο φόντο δεν θα γίνονται δεκτές."
Ev0096,Διαβατήριο,"Διαβατηρίο το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης. Σκαναρισμένη σελίδα διαβατηρίου με προσωπικά στοιχεία.  Μορφή αρχείου PDF, WORD ή JPG."
Ev0097,Ηλεκτρονικό Έντυπο αίτησης για βίζα,Ορθώς και πλήρως συμπληρωμένο έντυπο αίτησης για βίζα. 
Ev0098,Πρόσφατη έγχρωμη φωτογραφία, "Πρέπει να εμφανίζεται ένα πλήρες πρόσωπο, μπροστινή όψη με απλό λευκό ή εκρού φόντο. Οι στολές ΔΕΝ επιτρέπονται σε φωτογραφίες εκτός από θρησκευτικές ενδυμασίες που φοριούνται καθημερινά. Μην φοράτε καπέλο ή κάλυμμα κεφαλής που κρύβει τα μαλλιά ή τη γραμμή των μαλλιών. Εάν φοράτε συνήθως γυαλιά, περούκα ή παρόμοια είδη, θα πρέπει να τα φοράτε για τη φωτογραφία σας. Τα σκούρα γυαλιά ή τα μη συνταγογραφούμενα γυαλιά με φιμέ φακούς δεν είναι αποδεκτά εκτός εάν τα χρειάζεστε για ιατρικούς λόγους. Μπορεί να απαιτείται ιατρική βεβαίωση. Μορφή αρχείου PDF, WORD ή JPG."
Ev0099,Ταξιδιωτικοί Διακανονισμοί,Ταξιδιωτικό δρομολόγιο. Λεπτομέρειες σχετικά με μέρη που θα επισκεφτείτε. Κράτηση/διαμονή σε ξενοδοχείο. Εισιτήρια επιστροφής.
Ev0100,Ταξιδιωτικοί Διακανονισμοί,Εισιτήριο μετ 'επιστροφής
Ev0101,Διαβατήριο,Διαβατηρίο με τουλάχιστο 1 άδεια σελίδα το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης. 
Ev0102,φωτογραφία,"Πρέπει να προσκομίσετε μία έγχρωμη φωτογραφία τύπου διαβατηρίου που να πληροί τα ακόλουθα κριτήρια: Να τραβήξει τους τελευταίους τρεις μήνες και να εκτυπωθεί σε φωτογραφικό χαρτί υψηλής ποιότητας. Λήψη σε ολόλευκο φόντο. Να είναι δύο ίντσες επί δύο ίντσες. Παρέχετε την πλήρη μετωπική όψη του κεφαλιού σας με το πρόσωπό σας κεντραρισμένο στη μέση και εμφανίζοντας μια ουδέτερη (μη χαμογελαστή) έκφραση. Δεν επιτρέπεται να φοράτε ούτε γυαλιά ούτε καλύμματα κεφαλής παρά μόνο για θρησκευτικούς σκοπούς. Η φωτογραφία σας δεν πρέπει να επικολληθεί στην αίτησή σας και ενδέχεται να μην εμφανίζει στοιχεία κολλητικής ταινίας ή συνδετήρες"
Ev0103,Απόδειξη Ταξιδιωτικών Διακανονισμών,Εισιτήρια επιστροφής που επιβεβαιώνουν την πρόθεση του ταξιδιώτη να φύγει από την Μαδαγασκάρη το πολύ σε 90 ημέρες.
Ev0104,Διαβατήριο,Διαβατηρίο το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης. Σκαναρισμένη σελίδα διαβατηρίου με προσωπικά στοιχεία.  Μορφή αρχείου  JPEG, JPG, PNG, PDF ή DOCX. 
Ev0105,Πρόσφατη έγχρωμη φωτογραφία,Μεγέθους διαβατηρίου σε μορφή JPEG, JPG ή PNG. 
Ev0107,Πρόσφατη φωτογραφία,
Ev0108,Διαβατήριο,Ευανάγνωστο φωτοαντίγραφο του διαβατηρίου με τουλάχιστον 2 άδειες σελίδες το οποίο πρέπει να ισχύει για χρονικό διάστημα 6 μηνών μετά τη λήξη της θεώρησης.  
Ev0109,Ταξιδιωτικοι Διακανονισμοί,Εισιτήριο μετ' επιστροφής της πτήσης.
Ev0110,Ταξιδιωτικοι Διακανονισμοί,Βίζα εισόδου ή εισιτήριο για την προβλεπόμενη χώρα προορισμού
Ev0112,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Πρότυπο στην τοποθεσία : https://www.tuc.gr/fileadmin/users_data/dieythnisi_akadimaikwn/f_merimna/%CE%B1%CE%AF%CF%84%CE%B7%CF%83%CE%B7_%CE%95%CF%85%CF%81%CF%89%CF%80%CE%B1%CE%B9%CE%BA%CE%B7%CF%82_%CE%9A%CE%B1%CF%81%CF%84%CE%B1%CF%82_%CE%91%CF%83%CF%86%CE%AC%CE%BB%CE%B9%CF%83%CE%B7%CF%82_%CE%91%CF%83%CE%B8%CE%B5%CE%BD%CE%B5%CE%B9%CE%B1%CF%82.doc
Ev0113,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,
Ev0114,Βεβαίωση Α.Μ.Κ.Α.,
Ev0115,Υπεύθυνη δήλωση φοιτητή /τριας, ότι δεν ασφαλίζεται σε κανένα ασφαλιστικό φορέα.,
Ev0116,Φωτοαντίγραφο διαβατηρίου ή αστυνομικής ταυτότητας,
Ev0117,Φωτοαντίγραφο ακαδημαϊκής ταυτότητας,
Ev0118,Βεβαίωση σπουδών (πρόσφατη) φοιτητή /φοιτήτριας,
Ev0119,Βεβαίωση από την Γραμματεία της Σχολής ότι είσθε ενεργός Φοιτητή,
Ev0120,Αίτηση -Υπεύθυνη Δήλωση οι οποίες δίδονται από την Γραμματεία του Ιατρικού Τμήματος,
Ev0121, Βεβαίωση Ανασφάλιστου Φοιτητή,"Παρέχεται μέσω Internet ακολουθώντας τα παρακάτω βήματα:
1. Είσοδος στο GOOGLE CHROME
2. Γράφετε ΗΔΙΚΑ ή ηδικα ή idika
3. κλικ στην Ηλεκτρονική Διακυβέρνηση Κοινωνικής Ασφάλισης Α.Ε.
4. κλικ στο ΣΥΣΤΗΜΑ ΑΤΛΑΣ
κλικ στην ΑΣΦΑΛΙΣΤΙΚΗ ΙΚΑΝΟΤΗΤΑ
5. κλικ στην ΠΡΟΣΒΑΣΗ
6. κλικ στην ΠΡΟΣΒΑΣΗ ΑΣΦΑΛΙΣΤΙΚΗΣ ΙΚΑΝΟΤΗΤΑΣ
"
Ev0122,Βεβαίωση από το γραφείο ERASMUS,
Ev0123,Έγγραφο Πιστοποίησης ΑΦΜ,
Ev0124,Βεβαίωση συμμετοχής από το Τμήμα Διεθνών Σχέσεων του Δ.Π.Θ. για το συγκεκριμένο πρόγραμμα και τη διάρκειά του.,
Ev0125,Σε περίπτωση μετακίνησης για άλλο λόγο, Υπ. Δήλωση (άρθρο 8 Ν. 1599/1986) για ποιο λόγο μετακινείται και αιτείται την Ε.Κ.Α.Α.,
Ev0126,Βεβαίωση από το Γραφείο Διεθνών Σχέσεων για το χρονικό διάστημα μετακίνησης στο εξωτερικό στο πλαίσιο του Προγράμματος Erasmus+,
Ev0127,Πιστοποιητικό σπουδών (με ημερομηνία έκδοσης εντός της εβδομάδας που υποβάλλεται η αίτηση ή  μπορεί να αναζητηθεί αυτεπάγγελτα από το Τμήμα Σπουδών),
Ev0128,Αίτηση έκδοσης Ευρωπαϊκής Κάρτας Ασφάλισης Ασθενείας,Υπόδειγμα στην τοποθεσία : https://www.merimna.uoc.gr/images/AITHSH_EKAA.pdf
Ev0129,Επιβεβαίωση του διαστήματος μετακίνησης στο εξωτερικό με email από τον υπεύθυνο/η του Erasmus ή το Συμφωνητικό μετακίνησης,
